"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bangladesh","BGD","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","22247412282.0175","23595196297.5699","24881849659.0784","24768414727.2515","27481246818.534","27922666606.9654","28639388964.5105","28102153000.1177","30768893886.4236","31144538360.9776","32894815414.1393","31092349586.6864","26747589008.3517","27637128279.6546","30288069546.9297","29049828419.5729","30694444134.7328","31514923830.6962","33744238404.0343","35364513430.9367","35654198967.1819","38233403645.338","39049429821.9031","40564956312.1552","42513416921.3805","43934221544.8747","45767764684.2626","47494308687.072","48641893176.7727","50021660425.8709","52834007311.7358","54675392830.5312","57651202535.9186","60367474528.3118","62715845616.4941","65927698356.0697","68909554894.7531","72003522586.3165","75731164300.4426","79267928092.7913","83463813143.96","87701511126.0793","91063218744.844","95379221373.1044","100376647066.682","106937209452.104","114071958456.596","122123840982.243","129468112024.815","135999939845.133","143577568429.643","152858966788.201","162827601299.735","172619411144.635","183081976119.336","195078678697.23","208955558005.097","224176245316.101","241804889182.874","261518479983.853","267730908109.569",
"Bulgaria","BGR","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","29790541306.0213","31250326048.9362","31979885408.3221","33076893308.3465","34200331341.733","35118076966.1628","36595705876.4772","38811397953.1636","43059185944.9305","41642589507.9211","37845877589.7226","34649658807.5267","32129801178.871","31654211119.9275","32229688222.6253","33149862276.1279","34853405690.3197","29906726365.9034","31188313874.4049","28605604171.3897","29973536613.0129","31117698367.7171","32970145658.5808","34668715143.9583","36902025051.0089","39541826683.2918","42231527998.1864","45000683518.4766","47739257537.9733","46128134776.6946","46386197007.4813","47478386420.3129","47647688165.9488","47802909771.027","48704216730.9","50647442756.7445","52582395148.4924","54424225799.1385","56107266492.8588","58180041940.6031","55763415892.088",
"Bahrain","BHR","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","7719989594.2972","7309541111.89847","6757216271.72362","7188081842.37558","7547748015.19352","7188605896.05476","7273646666.44917","8030033862.1097","8592135561.90565","8623411548.67152","9006118309.71319","10017505286.0204","10687676226.0298","12063180869.1514","12033022737.8954","12505919514.1411","13019913570.9245","13422619469.9058","14065563316.8115","14670382393.2056","15447922937.5299","15832722681.7137","16362889422.8255","17393169261.3715","18607379553.6075","19866912679.454","21151705946.6711","22906020071.8799","24336503493.4839","24954622922.9927","26036230937.9271","26552663487.0358","27542575573.0076","29034512771.3789","30297627559.0615","31050638297.8723","32155459790.271","33535234420.6161","34112366712.4212","34791105095.2618","32768112472.7668",
"Bahamas, The","BHS","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","2203938788.2874","2439035086.11357","2693962347.71842","2977476432.36693","3290158120.83072","3633176730.32841","3962775933.26617","4343127679.62583","4708895624.07787","5131832740.18909","4841902176.45089","4920656138.56913","4748564263.27742","5107915132.04935","4252123329.8711","3622676142.38694","3810518601.29565","4159368882.1261","4749147430.4107","5990541123.77175","6379643658.37785","5791031891.80262","6178967197.25654","6401227852.24646","7308355364.9799","7661289008.92412","7798962389.83941","8031723931.066","8217233273.9988","8770033656.71993","8630042074.58918","8269152288.48556","7952809089.49998","7977288336.22393","8228486414.69397","8588791435.59181","8951541655.03993","9567026333.32071","9136166058.51849","10250551584.0872","10675870960.2937","10956129611.2646","11252456868.1631","11110166592.2253","11208240497.3693","11588789412.9225","11880462315.0006","12052340989.4394","11772303974.4124","11280715451.0012","11454256395.0187","11524514989.2123","11880240679.0567","11561971463.7193","11683871232.8249","11710800000","11879908225.141","12250040251.3343","12620726367.3871","12774430894.432","10695042469.4349",
"Bosnia and Herzegovina","BIH","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2436026764.95605","2942720272.18599","5560495548.6249","7472726282.96002","8638471335.41253","9467764559.1154","9988491635.95123","10427985199.8866","10980668500.1418","11419895208.3924","12116505018.4293","13177820810.8874","13891268500.1418","14705174369.1523","15505407428.4094","15039554295.4352","15169747093.8475","15315302523.391","15189435781.1171","15546365749.9291","15725747660.9016","16211541820.2438","16722174085.6252","17252506946.4134","17897762971.3638","18404449106.8897","17608024950.3828",
"Belarus","BLR","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29452556633.5457","29099127258.7491","26305610635.692","24306383742.7746","21462535897.5156","19230432058.6858","19768885050.6478","22022539015","23872430402.7966","24684092836.7343","26115771070.4161","27349821166.1531","28729692799.2932","30753180384.6838","34274340535.4692","37496129067.9992","41245740029.6776","44792876368.1538","49361749506.6609","49460470690.6153","53317530166.8315","56185324133.9697","57133246703.6914","57706562174.7975","58702799524.0454","56454734396.5842","55028435771.7374","56421856742.7841","58198692497.6768","59013474192.6442","58482352924.7647",
"Belize","BLZ","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","110028361.525542","115411253.990925","121057925.225605","127058081.627143","133410833.124975","139988708.899037","146667353.376242","153873301.086167","165209494.095538","173645710.054359","181994063.333217","189200011.043141","208533043.035047","219693510.684491","249483918.156725","258447437.348266","258359511.091833","275144080.329512","296937712.395681","319258584.1181","362156344.068917","366262367.030922","365867864.26573","358026657.483799","365087175.977415","368783734.433544","385524513.32422","426911742.335479","468696631.789067","529670413.049905","590282657.397344","657952876.225314","737290959.663775","783561761.484548","784803040.226239","789861016.945535","801149021.923378","829546985.061089","860576313.924607","936125025.755993","1058004582.75634","1107536473.40271","1159949633.42272","1268214791.10179","1328961547.39382","1354755401.19073","1420128854.55549","1427385967.59072","1477198925.59043","1480411258.69149","1524875847.40943","1554166651.25249","1591721262.91907","1612424641.27266","1677520307.06626","1721700991.46912","1721149865.39105","1752353216.96121","1803321550.57526","1835074886.55149","1577459345.33796",
"Bermuda","BMU","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","1684353374.02034","1763181111.92444","1841995307.62752","1861704657.41911","2068540044.85832","2167002550.99368","2478262917.40906","2807253304.69621","2866353374.2688","2964853490.22303","3152003710.53622","3260353838.08584","3319453907.65844","3368703965.63548","3398254000.42185","3526304151.16229","3841504522.21593","4068054788.91075","4127154858.48335","4215804962.84216","4550705357.08662","4659055484.63625","4412805194.75061","4501455299.10943","4523125324.61944","4432505217.94143","4728005565.80424","4905305774.52188","5104276008.74953","5126931035.41893","5127916036.5786","4946675890.08297","4943720834.23487","5092455993.93519","5122991040.76808","5348359015.58225","5487441777.63634","5739864145.64664","5963718852.73555","6165450410.7722","6739895068.97791","7226679645.63174","7119884453.30351","7362722827.73814","7533631299.4758","7659759815.30576","8084406664.52899","8354841362.08309","8198943712.90485","7737613934.72433","7543950875.42882","7261600082.73073","6876350478.40565","6857116738.50431","6603330213.03728","6654541000","6610806937.02849","6849550930.14215","6819905984.64909","6851270046.39601","",
"Bolivia","BOL","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","4727739746.57717","4826516220.96187","5095783596.33933","5442175895.63826","5657500838.4457","5935478858.25732","6361087691.69945","6762931564.89863","7339771963.52324","7668160505.06235","8069284227.95115","8477859236.2726","9153331417.28547","9678655892.0601","9963166545.6757","10691575417.9906","11184945380.9248","11740973136.6546","11981979454.8729","11997956710.7931","11833371725.1089","11865986866.8834","11398616374.7506","10937870796.9444","10915921115.9099","10732928017.7222","10456675913.7149","10714273735.3169","11026006039.4364","11443906007.3471","11974420989.5436","12605057160.5877","12812599040.0935","13359606523.1945","13983135488.6302","14637304682.8265","15275687754.507","16032477212.7938","16838806980.2148","16910690092.0553","17334777655.5099","17626660804.4505","18064782889.1261","18554580701.2476","19328917963.3881","20183533462.3006","21151739413.4932","22117185759.1042","23477060305.1187","24265185515.1239","25266542246.0612","26581436461.7176","27943010890.6533","29842021104.1396","31471565408.6312","33000198248.9146","34407300587.1524","35850757840.6068","37364958928.4415","38193230080.2463","35205262949.7599",
"Brazil","BRA","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","190188823902.459","209732459232.841","220672228929.828","222602388435.334","230361377895.534","237395434681.264","247248200397.312","259401106323.524","289043603248.433","317184388097.066","345001292321.695","383969487900.111","430248570977.198","490391692047.262","534733498847.963","562588172671.795","617667862296.319","646119608595.116","667000317776.672","712131459997.077","777013473569.853","742876496181.092","747187004017.397","721709470317.955","759737375434.445","820105056939.762","885617469058.013","917496416437.431","916554397925.601","946612422316.433","917245135521.092","931113306290.194","926765815246.877","970001006673.957","1021746211881.81","1066873997194.99","1090425619708.99","1127443890077.39","1131255754226.71","1136549324883.86","1186420534650.82","1202910550989.46","1239640965849.21","1253783149459.94","1326000615515.04","1368460897322.14","1422679163736.97","1509033948138.77","1585907086823.48","1583911825408.69","1703152284574.41","1770842801672.65","1804863353794.69","1859096723592.52","1868465748247.72","1802214373741.32","1743175328356.73","1766235255347.47","1797739006524.7","1823107854179.04","1749107026315.02",
