Country,Year,ghg_pergdp,gdp_percapita,population,fossilfuels_percapita,nuclear_percapita,renewables_percapita,yearly_oil_co2,yearly_gas_co2,yearly_flaring_co2,yearly_coal_co2,yearly_cement_co2
Germany,1995,-0.3166334437914452,-0.3214863924321677,-0.2280060789948253,-0.25024897690462633,-0.30913787889634126,-0.5485296043837861,-0.352153096129398,-0.3865508306397936,-0.5220901121179153,-0.08210077359201934,-0.1777004109395687
Germany,1996,-0.22532789924498778,-0.3163317291061229,-0.22501410515375392,-0.178983066535278,-0.2632597177264959,-0.555540823937652,-0.3388859385833036,-0.340592997062424,-0.5122708635916444,-0.09008801903613456,-0.23561435313948056
Germany,1997,-0.09343806113614735,-0.3047754023779448,-0.22349853229076677,-0.23490580736572872,-0.20843604656843162,-0.5510075618343656,-0.3493778794814945,-0.35974502531309804,-0.5106130683859104,-0.11079491143019383,-0.1998802185905988
Germany,1998,-0.15611946332279278,-0.2915562602523192,-0.22334159202931686,-0.2448545491955087,-0.2643476876919372,-0.5422923182019799,-0.3509091282906894,-0.35297864268067314,-0.5152038858787125,-0.12493036277717126,-0.17908664891775813
Germany,1999,-0.18113368199646288,-0.2789191258101996,-0.2226712473538002,-0.3032483008518243,-0.21038936620126597,-0.5317238443609011,-0.365330907919121,-0.3523076859062464,-0.5186469989983139,-0.1511784725932368,-0.16168166096938033
Germany,2000,0.0017326542257749308,-0.2590488707241131,-0.2212653557685413,-0.3042793933128255,-0.21308369071833733,-0.4990437856815797,-0.3785609526125688,-0.3501622475105995,-0.5263621228403839,-0.13098518583682486,-0.20165152267384073
Germany,2001,0.09179842700123403,-0.24724309443760747,-0.21951614156624588,-0.26047650274981543,-0.21003789995144043,-0.49917859988187396,-0.36672470171851385,-0.33019857800053826,-0.5278923953379846,-0.1263762906720139,-0.3362706330002316
Germany,2002,-0.050593007285473474,-0.24865646027672753,-0.21776515831108387,-0.2972296183418176,-0.2588977102353329,-0.47588991182639234,-0.3869498318607882,-0.3307126174648168,-0.5280199180461179,-0.1274818230416123,-0.38871663650839633
Germany,2003,-0.3404078906941169,-0.2536447826112957,-0.217187941632901,-0.3013789755734804,-0.2651974708178491,-0.4742943656955313,-0.3931902893058014,-0.32733077888403667,-0.525724509299717,-0.12185776600063059,-0.3360395933372
Germany,2004,-0.5214874970110928,-0.24533087902494213,-0.21741438039982386,-0.3274296437458549,-0.2597141096939722,-0.43618913687757055,-0.40606432552386196,-0.3314322727148068,-0.5304428495006523,-0.12719866216220563,-0.2927581631292871
